TXN-1001|Ethan|2026-06-18 00:59:02|S101|2|20.50|41.00|53.25
TXN-1001|Ethan|2026-06-18 00:59:02|S103|1|12.25|12.25|53.25
TXN-1002|Mother Nanay's SS|2026-06-18 01:12:19|F203|60|45.50|2730.00|9185.00
TXN-1002|Mother Nanay's SS|2026-06-18 01:12:19|F202|60|35.00|2100.00|9185.00
TXN-1002|Mother Nanay's SS|2026-06-18 01:12:19|F204|100|22.00|2200.00|9185.00
TXN-1002|Mother Nanay's SS|2026-06-18 01:12:19|B301|100|12.00|1200.00|9185.00
TXN-1002|Mother Nanay's SS|2026-06-18 01:12:19|S105|30|18.50|555.00|9185.00
TXN-1002|Mother Nanay's SS|2026-06-18 01:12:19|S104|50|8.00|400.00|9185.00
TXN-1003|Kuya Ricky's|2026-06-18 21:23:56|B301|20|12.00|240.00|1762.50
TXN-1003|Kuya Ricky's|2026-06-18 21:23:56|B305|20|45.00|900.00|1762.50
TXN-1003|Kuya Ricky's|2026-06-18 21:23:56|F205|30|15.75|472.50|1762.50
TXN-1003|Kuya Ricky's|2026-06-18 21:23:56|S102|10|15.00|150.00|1762.50
TXN-1004|Banana Chips Seller|2026-06-19 18:53:44|F201|100|17.99|1799.00|1799.00
